,betax_in,betay_in,angleb1,angleb2,angleb3,angleb4,divergence,emittence,centroid
0,5.7598,4.5713,0.00095,-0.00095,-0.00095,0.00095,1.9917736e-06,4.161026227651265e-09,4.2994542501730525e-05
1,5.7598,4.5713,0.00095,-0.000951010101010101,-0.000951010101010101,0.00095,1.9912617e-06,4.084686608099022e-09,6.741059796405638e-06
2,5.7598,4.5713,0.00095,-0.000952020202020202,-0.000952020202020202,0.00095,1.9866603e-06,3.920282255796773e-09,0.0001517717377421
3,5.7598,4.5713,0.00095,-0.000953030303030303,-0.000953030303030303,0.00095,1.9884914e-06,3.8937046121838015e-09,0.0001056266502839
4,5.7598,4.5713,0.00095,-0.0009540404040404041,-0.0009540404040404041,0.00095,1.9875614e-06,3.864765420062932e-09,0.0001220992909893
5,5.7598,4.5713,0.00095,-0.000955050505050505,-0.000955050505050505,0.00095,1.9970311e-06,3.9413165054421655e-09,0.0001053443355295
6,5.7598,4.5713,0.00095,-0.0009560606060606061,-0.0009560606060606061,0.00095,1.994812e-06,3.930089369298513e-09,8.886186892707067e-05
7,5.7598,4.5713,0.00095,-0.0009570707070707071,-0.0009570707070707071,0.00095,1.9913807e-06,4.119271388825685e-09,1.6630981648531852e-05
8,5.7598,4.5713,0.00095,-0.000958080808080808,-0.000958080808080808,0.00095,1.9876494e-06,3.8482117664103514e-09,0.0001155158902068
9,5.7598,4.5713,0.00095,-0.0009590909090909091,-0.0009590909090909091,0.00095,1.9974031e-06,3.976107906063525e-09,0.0001317123221321
10,5.7598,4.5713,0.00095,-0.0009601010101010101,-0.0009601010101010101,0.00095,1.9908117e-06,4.119753434754291e-09,2.6518975164250605e-05
11,5.7598,4.5713,0.00095,-0.0009611111111111112,-0.0009611111111111112,0.00095,1.9910138e-06,3.955192316389541e-09,2.2925485505005456e-05
12,5.7598,4.5713,0.00095,-0.0009621212121212121,-0.0009621212121212121,0.00095,1.9913676e-06,4.154206097597626e-09,4.958713113489415e-05
13,5.7598,4.5713,0.00095,-0.0009631313131313132,-0.0009631313131313132,0.00095,1.9903195000000002e-06,4.051113150233141e-09,8.913886534546179e-05
14,5.7598,4.5713,0.00095,-0.0009641414141414142,-0.0009641414141414142,0.00095,1.9974871e-06,3.978718597656196e-09,0.0001284161191373
15,5.7598,4.5713,0.00095,-0.0009651515151515152,-0.0009651515151515152,0.00095,1.9909997999999998e-06,3.939621534987251e-09,2.9517993090049016e-05
16,5.7598,4.5713,0.00095,-0.0009661616161616162,-0.0009661616161616162,0.00095,1.9919839e-06,3.927890920607291e-09,4.269652704334373e-05
17,5.7598,4.5713,0.00095,-0.0009671717171717172,-0.0009671717171717172,0.00095,1.9925635e-06,4.189980283081591e-09,6.936270650840188e-05
18,5.7598,4.5713,0.00095,-0.0009681818181818182,-0.0009681818181818182,0.00095,1.9924555e-06,4.173987311940312e-09,6.277308714554751e-05
19,5.7598,4.5713,0.00095,-0.0009691919191919192,-0.0009691919191919192,0.00095,1.9973351e-06,3.970194278063296e-09,0.0001218232252268
20,5.7598,4.5713,0.00095,-0.0009702020202020203,-0.0009702020202020203,0.00095,1.9978992e-06,3.996655876703556e-09,0.0001416008918045
21,5.7598,4.5713,0.00095,-0.0009712121212121212,-0.0009712121212121212,0.00095,1.9910138e-06,3.955192316389541e-09,2.2925485505005456e-05
22,5.7598,4.5713,0.00095,-0.0009722222222222223,-0.0009722222222222223,0.00095,1.9922116e-06,4.15720286868249e-09,5.617879128961685e-05
23,5.7598,4.5713,0.00095,-0.0009732323232323233,-0.0009732323232323233,0.00095,1.9935318999999997e-06,3.910595975614935e-09,6.578366375367982e-05
24,5.7598,4.5713,0.00095,-0.0009742424242424242,-0.0009742424242424242,0.00095,1.9877382e-06,3.928153946455588e-09,0.0001649560742686
25,5.7598,4.5713,0.00095,-0.0009752525252525253,-0.0009752525252525253,0.00095,1.9910138e-06,3.955192316389541e-09,2.2925485505005456e-05
26,5.7598,4.5713,0.00095,-0.0009762626262626263,-0.0009762626262626263,0.00095,1.9909977e-06,4.117780923534832e-09,1.9927595514453597e-05
27,5.7598,4.5713,0.00095,-0.0009772727272727272,-0.0009772727272727272,0.00095,1.9881642e-06,3.93971029434875e-09,0.0001616606445012
28,5.7598,4.5713,0.00095,-0.0009782828282828284,-0.0009782828282828284,0.00095,1.996019e-06,3.925982115802329e-09,9.875333582574332e-05
29,5.7598,4.5713,0.00095,-0.0009792929292929294,-0.0009792929292929294,0.00095,1.9917736e-06,4.161026227651265e-09,4.2994542501730525e-05
30,5.7598,4.5713,0.00095,-0.0009803030303030303,-0.0009803030303030303,0.00095,1.9884914e-06,3.8937046121838015e-09,0.0001056266502839
31,5.7598,4.5713,0.00095,-0.0009813131313131313,-0.0009813131313131313,0.00095,1.9972961e-06,3.965465044633615e-09,0.0001251201807024
32,5.7598,4.5713,0.00095,-0.0009823232323232323,-0.0009823232323232323,0.00095,1.9974031e-06,3.976107906063525e-09,0.0001317123221321
33,5.7598,4.5713,0.00095,-0.0009833333333333335,-0.0009833333333333335,0.00095,1.993274e-06,3.925036833430858e-09,7.567547747932842e-05
34,5.7598,4.5713,0.00095,-0.0009843434343434344,-0.0009843434343434344,0.00095,1.9903195000000002e-06,4.051113150233141e-09,8.913886534546179e-05
35,5.7598,4.5713,0.00095,-0.0009853535353535354,-0.0009853535353535354,0.00095,1.9970531e-06,3.961602947152152e-09,0.0001185270703791
36,5.7598,4.5713,0.00095,-0.0009863636363636363,-0.0009863636363636363,0.00095,1.9909997999999998e-06,3.939621534987251e-09,2.9517993090049016e-05
37,5.7598,4.5713,0.00095,-0.0009873737373737375,-0.0009873737373737375,0.00095,1.9898535e-06,4.00632130635049e-09,9.243617070169216e-05
