,Quad,Labels,Angle,OTR8,OTR9,OTR40,OTR41,OTR42,OTR43
0,QM1,DX,-9.98e-05,-0.000196552,2.57e-22,0.002426723,-1.61e-16,0.002401986,-1.76e-16
1,QM1,DX,-9.96e-05,-0.000196158,2.57e-22,0.002421855,-1.61e-16,0.002397167,-1.76e-16
2,QM1,DX,-9.94e-05,-0.000195763,2.57e-22,0.002416987,-1.62e-16,0.002392349,-1.77e-16
3,QM1,DX,-9.92e-05,-0.000195369,2.57e-22,0.002412119,-1.62e-16,0.002387531,-1.77e-16
4,QM1,DX,-9.9e-05,-0.000194975,2.57e-22,0.002407251,-1.62e-16,0.002382712,-1.76e-16
5,QM1,DX,-9.88e-05,-0.00019458,2.57e-22,0.002402383,-1.61e-16,0.002377894,-1.76e-16
6,QM1,DX,-9.86e-05,-0.000194186,2.57e-22,0.002397514,-1.61e-16,0.002373075,-1.76e-16
7,QM1,DX,-9.84e-05,-0.000193792,2.57e-22,0.002392646,-1.61e-16,0.002368257,-1.76e-16
8,QM1,DX,-9.82e-05,-0.000193398,2.57e-22,0.002387778,-1.62e-16,0.002363438,-1.77e-16
9,QM1,DX,-9.8e-05,-0.000193003,2.57e-22,0.00238291,-1.62e-16,0.00235862,-1.77e-16
10,QM1,DX,-9.78e-05,-0.000192609,2.57e-22,0.002378042,-1.62e-16,0.002353801,-1.77e-16
11,QM1,DX,-9.76e-05,-0.000192215,2.57e-22,0.002373174,-1.62e-16,0.002348983,-1.77e-16
12,QM1,DX,-9.74e-05,-0.00019182,2.57e-22,0.002368306,-1.62e-16,0.002344164,-1.77e-16
13,QM1,DX,-9.72e-05,-0.000191426,2.57e-22,0.002363438,-1.62e-16,0.002339346,-1.77e-16
14,QM1,DX,-9.7e-05,-0.000191032,2.57e-22,0.00235857,-1.62e-16,0.002334527,-1.77e-16
15,QM1,DX,-9.68e-05,-0.000190638,2.57e-22,0.002353702,-1.62e-16,0.002329709,-1.77e-16
16,QM1,DX,-9.66e-05,-0.000190243,2.57e-22,0.002348834,-1.62e-16,0.00232489,-1.77e-16
17,QM1,DX,-9.64e-05,-0.000189849,2.57e-22,0.002343965,-1.62e-16,0.002320072,-1.77e-16
18,QM1,DX,-9.62e-05,-0.000189455,2.57e-22,0.002339097,-1.62e-16,0.002315253,-1.77e-16
19,QM1,DX,-9.6e-05,-0.00018906,2.57e-22,0.002334229,-1.62e-16,0.002310435,-1.77e-16
20,QM1,DX,-9.58e-05,-0.000188666,2.57e-22,0.002329361,-1.62e-16,0.002305617,-1.77e-16
21,QM1,DX,-9.56e-05,-0.000188272,2.57e-22,0.002324493,-1.62e-16,0.002300798,-1.77e-16
22,QM1,DX,-9.54e-05,-0.000187878,2.57e-22,0.002319625,-1.62e-16,0.00229598,-1.77e-16
23,QM1,DX,-9.52e-05,-0.000187483,2.57e-22,0.002314757,-1.62e-16,0.002291161,-1.77e-16
24,QM1,DX,-9.5e-05,-0.000187089,2.57e-22,0.002309889,-1.62e-16,0.002286343,-1.77e-16
25,QM1,DX,-9.48e-05,-0.000186695,2.57e-22,0.002305021,-1.62e-16,0.002281524,-1.77e-16
26,QM1,DX,-9.46e-05,-0.0001863,2.57e-22,0.002300153,-1.62e-16,0.002276706,-1.77e-16
27,QM1,DX,-9.44e-05,-0.000185906,2.57e-22,0.002295284,-1.62e-16,0.002271887,-1.77e-16
28,QM1,DX,-9.42e-05,-0.000185512,2.57e-22,0.002290416,-1.63e-16,0.002267069,-1.78e-16
29,QM1,DX,-9.4e-05,-0.000185118,2.57e-22,0.002285548,-1.63e-16,0.00226225,-1.78e-16
30,QM1,DX,-9.38e-05,-0.000184723,2.57e-22,0.00228068,-1.63e-16,0.002257432,-1.78e-16
31,QM1,DX,-9.36e-05,-0.000184329,2.57e-22,0.002275812,-1.63e-16,0.002252613,-1.78e-16
32,QM1,DX,-9.34e-05,-0.000183935,2.57e-22,0.002270944,-1.63e-16,0.002247795,-1.78e-16
33,QM1,DX,-9.32e-05,-0.00018354,2.57e-22,0.002266076,-1.63e-16,0.002242976,-1.78e-16
34,QM1,DX,-9.3e-05,-0.000183146,2.57e-22,0.002261208,-1.63e-16,0.002238158,-1.78e-16
35,QM1,DX,-9.28e-05,-0.000182752,2.57e-22,0.00225634,-1.63e-16,0.002233339,-1.78e-16
36,QM1,DX,-9.26e-05,-0.000182358,2.57e-22,0.002251472,-1.62e-16,0.002228521,-1.77e-16
37,QM1,DX,-9.24e-05,-0.000181963,2.57e-22,0.002246604,-1.62e-16,0.002223703,-1.77e-16
38,QM1,DX,-9.22e-05,-0.000181569,2.57e-22,0.002241735,-1.62e-16,0.002218884,-1.77e-16
39,QM1,DX,-9.2e-05,-0.000181175,2.57e-22,0.002236867,-1.62e-16,0.002214066,-1.77e-16
40,QM1,DX,-9.18e-05,-0.00018078,2.57e-22,0.002231999,-1.62e-16,0.002209247,-1.77e-16
41,QM1,DX,-9.16e-05,-0.000180386,2.57e-22,0.002227131,-1.62e-16,0.002204429,-1.77e-16
42,QM1,DX,-9.14e-05,-0.000179992,2.57e-22,0.002222263,-1.62e-16,0.00219961,-1.77e-16
43,QM1,DX,-9.12e-05,-0.000179598,2.57e-22,0.002217395,-1.63e-16,0.002194792,-1.78e-16
44,QM1,DX,-9.1e-05,-0.000179203,2.57e-22,0.002212527,-1.63e-16,0.002189973,-1.78e-16
45,QM1,DX,-9.08e-05,-0.000178809,2.57e-22,0.002207659,-1.63e-16,0.002185155,-1.78e-16
46,QM1,DX,-9.06e-05,-0.000178415,2.57e-22,0.002202791,-1.63e-16,0.002180336,-1.78e-16
47,QM1,DX,-9.04e-05,-0.00017802,2.57e-22,0.002197923,-1.63e-16,0.002175518,-1.78e-16
48,QM1,DX,-9.02e-05,-0.000177626,2.57e-22,0.002193054,-1.63e-16,0.002170699,-1.78e-16
49,QM1,DX,-9e-05,-0.000177232,2.57e-22,0.002188186,-1.63e-16,0.002165881,-1.78e-16
50,QM1,DX,-8.98e-05,-0.000176838,2.57e-22,0.002183318,-1.63e-16,0.002161062,-1.78e-16
51,QM1,DX,-8.96e-05,-0.000176443,2.57e-22,0.00217845,-1.63e-16,0.002156244,-1.78e-16
52,QM1,DX,-8.94e-05,-0.000176049,2.57e-22,0.002173582,-1.63e-16,0.002151426,-1.78e-16
53,QM1,DX,-8.92e-05,-0.000175655,2.57e-22,0.002168714,-1.63e-16,0.002146607,-1.79e-16
54,QM1,DX,-8.9e-05,-0.00017526,2.57e-22,0.002163846,-1.63e-16,0.002141789,-1.78e-16
55,QM1,DX,-8.88e-05,-0.000174866,2.57e-22,0.002158978,-1.63e-16,0.00213697,-1.78e-16
56,QM1,DX,-8.86e-05,-0.000174472,2.57e-22,0.00215411,-1.63e-16,0.002132152,-1.78e-16
57,QM1,DX,-8.84e-05,-0.000174078,2.57e-22,0.002149242,-1.63e-16,0.002127333,-1.78e-16
58,QM1,DX,-8.82e-05,-0.000173683,2.57e-22,0.002144374,-1.63e-16,0.002122515,-1.78e-16
59,QM1,DX,-8.8e-05,-0.000173289,2.57e-22,0.002139505,-1.63e-16,0.002117696,-1.78e-16
60,QM1,DX,-8.78e-05,-0.000172895,2.57e-22,0.002134637,-1.63e-16,0.002112878,-1.78e-16
61,QM1,DX,-8.76e-05,-0.0001725,2.57e-22,0.002129769,-1.63e-16,0.002108059,-1.78e-16
62,QM1,DX,-8.74e-05,-0.000172106,2.57e-22,0.002124901,-1.63e-16,0.002103241,-1.78e-16
63,QM1,DX,-8.72e-05,-0.000171712,2.57e-22,0.002120033,-1.63e-16,0.002098422,-1.78e-16
64,QM1,DX,-8.7e-05,-0.000171318,2.57e-22,0.002115165,-1.62e-16,0.002093604,-1.78e-16
65,QM1,DX,-8.68e-05,-0.000170923,2.57e-22,0.002110297,-1.62e-16,0.002088785,-1.77e-16
66,QM1,DX,-8.66e-05,-0.000170529,2.57e-22,0.002105429,-1.62e-16,0.002083967,-1.77e-16
67,QM1,DX,-8.64e-05,-0.000170135,2.57e-22,0.002100561,-1.62e-16,0.002079148,-1.77e-16
