s	Sxp	Syp
 0.000000e+00	 1.723900e-06	 1.409075e-06
 0.000000e+00	 1.723900e-06	 1.409075e-06
 0.000000e+00	 1.723900e-06	 1.409075e-06
 4.000000e-01	 1.982217e-06	 1.409081e-06
 1.400000e+00	 1.982217e-06	 1.409081e-06
 1.400000e+00	 1.982217e-06	 1.409081e-06
 1.800000e+00	 1.723996e-06	 1.409075e-06
 2.000000e+00	 1.723996e-06	 1.409075e-06
 2.000100e+00	 1.723996e-06	 1.409075e-06
 2.000100e+00	 1.723996e-06	 1.409075e-06
 2.400100e+00	 1.982695e-06	 1.409064e-06
 3.400100e+00	 1.982695e-06	 1.409064e-06
 3.400100e+00	 1.982695e-06	 1.409064e-06
 3.800100e+00	 1.724369e-06	 1.409044e-06
 3.800100e+00	 1.724369e-06	 1.409044e-06
 5.376794e+00	 1.724369e-06	 1.409044e-06
 5.676794e+00	 1.055342e-05	 1.313647e-05
 6.177454e+00	 1.055342e-05	 1.313647e-05
 6.477454e+00	 8.907558e-06	 1.304911e-05
 6.977180e+00	 8.907558e-06	 1.304911e-05
 7.277180e+00	 1.046933e-06	 7.311987e-07
 7.797890e+00	 1.046933e-06	 7.311987e-07
 7.797890e+00	 1.046933e-06	 7.311987e-07
