betaxBeam	betayBeam	alphaxBeam	alphayBeam	enx	eny	ecnx	ecny
 2.104139e+00	 3.149270e+00	 2.000320e-01	 1.999922e-01	 4.000158e-08	 4.000035e-08	 4.000158e-08	 4.000035e-08
 2.104139e+00	 3.149270e+00	 2.000320e-01	 1.999922e-01	 4.000158e-08	 4.000035e-08	 4.000158e-08	 4.000035e-08
 2.104139e+00	 3.149270e+00	 2.000320e-01	 1.999922e-01	 4.000158e-08	 4.000035e-08	 4.000158e-08	 4.000035e-08
 2.023042e+00	 3.042101e+00	 2.292451e-03	 6.792805e-02	 4.605284e-08	 4.000034e-08	 4.000479e-08	 4.000034e-08
 2.512933e+00	 3.236481e+00	-4.920299e-01	-2.623089e-01	 4.605280e-08	 4.000030e-08	 4.000292e-08	 4.000030e-08
 2.512933e+00	 3.236481e+00	-4.920299e-01	-2.623089e-01	 4.605280e-08	 4.000030e-08	 4.000292e-08	 4.000030e-08
 2.985911e+00	 3.499156e+00	-6.898337e-01	-3.943872e-01	 4.297623e-08	 4.000025e-08	 4.000532e-08	 4.000025e-08
 3.281527e+00	 3.670120e+00	-7.886744e-01	-4.604340e-01	 4.297622e-08	 4.000024e-08	 4.000482e-08	 4.000024e-08
 3.281685e+00	 3.670212e+00	-7.887238e-01	-4.604671e-01	 4.297622e-08	 4.000024e-08	 4.000482e-08	 4.000024e-08
 3.281685e+00	 3.670212e+00	-7.887238e-01	-4.604671e-01	 4.297622e-08	 4.000024e-08	 4.000482e-08	 4.000024e-08
 3.991730e+00	 4.091422e+00	-9.863987e-01	-5.925411e-01	 5.833249e-08	 4.000023e-08	 4.000645e-08	 4.000022e-08
 6.456542e+00	 5.606732e+00	-1.480496e+00	-9.227694e-01	 5.833242e-08	 4.000019e-08	 4.001953e-08	 4.000017e-08
 6.456542e+00	 5.606732e+00	-1.480496e+00	-9.227694e-01	 5.833242e-08	 4.000019e-08	 4.001953e-08	 4.000017e-08
 7.719611e+00	 6.397763e+00	-1.678010e+00	-1.054830e+00	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 7.719611e+00	 6.397763e+00	-1.678010e+00	-1.054830e+00	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 1.423981e+01	 1.054496e+01	-2.457352e+00	-1.575485e+00	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 1.029093e+01	 1.676231e+01	 1.376695e+01	-2.191142e+01	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 1.146595e+00	 4.589710e+01	 4.497597e+00	-3.628132e+01	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 9.230156e-02	 4.597243e+01	-4.663016e-01	 3.606945e+01	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 3.852184e+00	 1.699534e+01	-7.057582e+00	 2.191648e+01	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 6.500525e+00	 1.124720e+01	-4.294435e-01	-1.262663e-02	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 6.997159e+00	 1.128446e+01	-5.243191e-01	-5.893090e-02	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
 6.997159e+00	 1.128446e+01	-5.243191e-01	-5.893090e-02	 4.002168e-08	 4.000015e-08	 4.002166e-08	 4.000012e-08
