s	betacx	betacy	alphacx	alphacy	etax	etay	enx	eny	duration
 0.000000e+00	 1.944954e+00	 3.149270e+00	 2.000320e-01	 1.999922e-01	-6.326540e-17	 7.929131e-17	 4.000158e-08	 4.000035e-08	 9.480066e-15
 0.000000e+00	 1.944954e+00	 3.149270e+00	 2.000320e-01	 1.999922e-01	-6.326540e-17	 7.929131e-17	 4.000158e-08	 4.000035e-08	 9.480066e-15
 0.000000e+00	 1.941788e+00	 3.146091e+00	 1.957454e-01	 1.973657e-01	 3.064131e-07	 3.305149e-14	 4.000405e-08	 4.000035e-08	 9.480558e-15
 8.163265e-03	 1.938690e+00	 3.142955e+00	 1.914683e-01	 1.947239e-01	 1.225639e-06	 6.602537e-14	 4.001147e-08	 4.000035e-08	 9.481050e-15
 1.632653e-02	 1.935661e+00	 3.139860e+00	 1.871912e-01	 1.920820e-01	 2.757681e-06	 9.900527e-14	 4.002381e-08	 4.000035e-08	 9.481543e-15
 2.448980e-02	 1.932701e+00	 3.136808e+00	 1.829141e-01	 1.894401e-01	 4.902519e-06	 1.319932e-13	 4.004106e-08	 4.000035e-08	 9.482035e-15
 3.265306e-02	 1.929808e+00	 3.133798e+00	 1.786370e-01	 1.867982e-01	 7.660184e-06	 1.649929e-13	 4.006321e-08	 4.000035e-08	 9.482527e-15
 4.081633e-02	 1.926985e+00	 3.130831e+00	 1.743599e-01	 1.841563e-01	 1.103066e-05	 1.980051e-13	 4.009023e-08	 4.000035e-08	 9.483020e-15
 4.897959e-02	 1.924229e+00	 3.127905e+00	 1.700828e-01	 1.815144e-01	 1.501395e-05	 2.310339e-13	 4.012211e-08	 4.000035e-08	 9.483512e-15
 5.714286e-02	 1.921542e+00	 3.125022e+00	 1.658057e-01	 1.788725e-01	 1.961005e-05	 2.640815e-13	 4.015882e-08	 4.000035e-08	 9.484005e-15
 6.530612e-02	 1.918924e+00	 3.122181e+00	 1.615286e-01	 1.762306e-01	 2.481897e-05	 2.971497e-13	 4.020034e-08	 4.000035e-08	 9.484498e-15
 7.346939e-02	 1.916374e+00	 3.119383e+00	 1.572515e-01	 1.735887e-01	 3.064071e-05	 3.302408e-13	 4.024664e-08	 4.000035e-08	 9.484991e-15
 8.163265e-02	 1.913892e+00	 3.116626e+00	 1.529745e-01	 1.709468e-01	 3.707527e-05	 3.633586e-13	 4.029770e-08	 4.000035e-08	 9.485484e-15
 8.979592e-02	 1.911479e+00	 3.113912e+00	 1.486974e-01	 1.683050e-01	 4.412263e-05	 3.965047e-13	 4.035349e-08	 4.000035e-08	 9.485977e-15
 9.795918e-02	 1.909134e+00	 3.111241e+00	 1.444202e-01	 1.656631e-01	 5.178280e-05	 4.296815e-13	 4.041399e-08	 4.000035e-08	 9.486471e-15
 1.061224e-01	 1.906858e+00	 3.108611e+00	 1.401431e-01	 1.630212e-01	 6.005579e-05	 4.628922e-13	 4.047915e-08	 4.000035e-08	 9.486964e-15
 1.142857e-01	 1.904650e+00	 3.106024e+00	 1.358660e-01	 1.603793e-01	 6.894160e-05	 4.961390e-13	 4.054896e-08	 4.000035e-08	 9.487458e-15
 1.224490e-01	 1.902511e+00	 3.103479e+00	 1.315889e-01	 1.577374e-01	 7.844021e-05	 5.294239e-13	 4.062337e-08	 4.000035e-08	 9.487952e-15
 1.306122e-01	 1.900440e+00	 3.100976e+00	 1.273118e-01	 1.550955e-01	 8.855165e-05	 5.627503e-13	 4.070236e-08	 4.000035e-08	 9.488447e-15
 1.387755e-01	 1.898437e+00	 3.098516e+00	 1.230347e-01	 1.524536e-01	 9.927590e-05	 5.961204e-13	 4.078590e-08	 4.000035e-08	 9.488941e-15
 1.469388e-01	 1.896503e+00	 3.096098e+00	 1.187576e-01	 1.498117e-01	 1.106130e-04	 6.295367e-13	 4.087393e-08	 4.000035e-08	 9.489436e-15
 1.551020e-01	 1.894637e+00	 3.093722e+00	 1.144805e-01	 1.471698e-01	 1.225629e-04	 6.630022e-13	 4.096644e-08	 4.000035e-08	 9.489931e-15
 1.632653e-01	 1.892840e+00	 3.091388e+00	 1.102034e-01	 1.445280e-01	 1.351255e-04	 6.965177e-13	 4.106338e-08	 4.000035e-08	 9.490427e-15
 1.714286e-01	 1.891111e+00	 3.089097e+00	 1.059263e-01	 1.418861e-01	 1.483010e-04	 7.300873e-13	 4.116471e-08	 4.000035e-08	 9.490922e-15
 1.795918e-01	 1.889450e+00	 3.086848e+00	 1.016492e-01	 1.392442e-01	 1.620893e-04	 7.637131e-13	 4.127040e-08	 4.000035e-08	 9.491418e-15
 1.877551e-01	 1.887857e+00	 3.084641e+00	 9.737197e-02	 1.366023e-01	 1.764862e-04	 1.638477e-07	 4.138040e-08	 4.000035e-08	 9.491915e-15
 1.959184e-01	 1.886333e+00	 3.082476e+00	 9.309467e-02	 1.339604e-01	 1.914909e-04	 3.162830e-07	 4.149468e-08	 4.000035e-08	 9.492412e-15
 2.040816e-01	 1.884878e+00	 3.080354e+00	 8.881765e-02	 1.313185e-01	 2.071214e-04	 4.742393e-07	 4.161320e-08	 4.000035e-08	 9.492909e-15
 2.122449e-01	 1.883491e+00	 3.078274e+00	 8.454062e-02	 1.286766e-01	 2.233646e-04	 6.249056e-07	 4.173591e-08	 4.000035e-08	 9.493406e-15
 2.204082e-01	 1.882172e+00	 3.076236e+00	 8.026378e-02	 1.260347e-01	 2.402269e-04	 7.694797e-07	 4.186277e-08	 4.000035e-08	 9.493904e-15
 2.285714e-01	 1.880922e+00	 3.074241e+00	 7.598713e-02	 1.233928e-01	 2.577094e-04	 9.222125e-07	 4.199374e-08	 4.000035e-08	 9.494403e-15
 2.367347e-01	 1.879736e+00	 3.072288e+00	 7.170870e-02	 1.207509e-01	 2.757471e-04	 1.155515e-06	 4.212878e-08	 4.000035e-08	 9.494901e-15
 2.448980e-01	 1.878618e+00	 3.070377e+00	 6.743015e-02	 1.181091e-01	 2.943945e-04	 1.368345e-06	 4.226784e-08	 4.000035e-08	 9.495401e-15
 2.530612e-01	 1.877569e+00	 3.068508e+00	 6.315163e-02	 1.154672e-01	 3.136565e-04	 1.567300e-06	 4.241088e-08	 4.000035e-08	 9.495900e-15
 2.612245e-01	 1.876588e+00	 3.066682e+00	 5.887348e-02	 1.128253e-01	 3.335447e-04	 1.753636e-06	 4.255785e-08	 4.000035e-08	 9.496400e-15
 2.693878e-01	 1.875673e+00	 3.064898e+00	 5.459517e-02	 1.101834e-01	 3.540489e-04	 1.837522e-06	 4.270871e-08	 4.000035e-08	 9.496901e-15
 2.775510e-01	 1.874827e+00	 3.063156e+00	 5.031685e-02	 1.075415e-01	 3.751658e-04	 1.908919e-06	 4.286341e-08	 4.000035e-08	 9.497402e-15
 2.857143e-01	 1.874048e+00	 3.061456e+00	 4.603829e-02	 1.048996e-01	 3.968896e-04	 1.988271e-06	 4.302191e-08	 4.000035e-08	 9.497904e-15
